Dates|S 1 Comdty_PX_LAST|C 1 Comdty_PX_LAST|W 1 Comdty_PX_LAST|SM1 Comdty_PX_LAST|BO1 Comdty_PX_LAST|AK1 Comdty_PX_LAST|AE1 Comdty_PX_LAST|SH1 Comdty_PX_LAST|DL1 Comdty_PX_LAST|DDGSFVGM Comdty_PX_LAST|BCOM Index_PX_LAST|BCOMTR Index_PX_LAST|DBC US Equity_PX_LAST|CCI Index_PX_LAST|USDCAD Curncy_PX_LAST|BB_MA|BB_UPPER|BB_LOWER|EMAVG
2013-01-11|1373.25|708.75|754.75|404.3|49.24|4625|3745|8230|2.291|337|138.5452|278.7851|27.59|556.4|0.9848|1419.825|1496.8230681575844|1342.8269318424157|1381.3294908083617
2013-01-14|1418.0|724.0|767.0|417.5|50.45|4625|3718|8230|2.33|337|139.6168|280.9427|27.77|560.57|0.9837|1416.9|1489.3757545666135|1344.424245433387|1393.5529938722411
2013-01-15|1413.5|730.5|782.75|411.9|50.87|4625|3800|8456|2.343|337|139.9216|281.5568|27.65|561.84|0.9843|1412.775|1475.5095399281768|1350.0404600718234|1400.2019959148274
2013-01-16|1436.5|731.25|785.0|419.1|51.31|4782|3624|8602|2.343|337|140.019|281.7533|27.68|562.5|0.9859|1409.7875|1460.962512212993|1358.6124877870068|1412.301330609885
2013-01-17|1430.25|724.5|781.25|414.0|51.49|4772|3649|8636|2.339|337|140.8471|283.4203|27.8|565.16|0.9858|1408.0|1453.3638071594526|1362.6361928405474|1418.28422040659
2013-01-18|1429.25|727.5|791.25|414.4|51.68|4758|3634|8578|2.375|343|141.4769|284.6881|27.98|566.74|0.9917|1407.6125|1452.1028009092993|1363.1221990907006|1421.93948027106
2013-01-21|1429.25|727.5|791.25|414.4|51.68|4807|3642|8670|2.375|343|141.4769|284.6881|27.98|566.74|0.9929|1409.7625|1458.241999533308|1361.283000466692|1431.876320180707
2013-01-22|1451.75|728.5|779.25|421.6|52.43|4779|3651|8700|2.394|343|141.89|285.5217|28.06|566.21|0.9919|1409.7625|1458.241999533308|1361.283000466692|1431.876320180707
2013-01-23|1437.0|720.75|774.75|416.5|52.03|4797|3672|8700|2.374|343|141.5969|284.9326|28.09|566.2|0.9992|1410.075|1459.1683040240723|1360.9816959759278|1433.5842134538048
2013-01-24|1435.25|724.25|768.5|414.7|52.11|4787|3650|8602|2.382|343|141.0598|283.8524|28.07|563.26|1.0026|1409.85|1458.4358518501012|1361.2641481498986|1434.13947563587
2013-01-25|1441.0|720.75|776.5|416.4|52.1|4779|3656|8602|2.376|350|140.6473|283.023|28.01|561.75|1.0058|1410.675|1460.7649441005876|1360.5850558994125|1436.42631709058
2013-01-28|1447.75|729.25|779.25|420.3|51.89|4779|3695|8602|2.403|350|140.5304|282.7895|28.0|561.83|1.0063|1412.125|1464.6841333642403|1359.5658666357597|1440.200878060387
2013-01-29|1451.75|729.5|777.0|423.7|51.71|4792|3707|8550|2.405|350|140.9774|283.6896|28.16|564.23|1.0009|1413.5125|1468.6540167999576|1358.3709832000425|1444.0505853735913
2013-01-30|1478.75|740.25|787.0|432.7|52.6|4793|3759|8588|2.456|350|142.9639|287.6875|28.48|570.84|1.0014|1416.5125|1478.563179891521|1354.461820108479|1455.6170569157275
2013-01-31|1468.5|740.5|779.5|426.4|52.86|4800|3809|8588|2.458|350|142.3956|286.5446|28.47|569.1|0.9972|1420.325|1485.2476655336948|1355.402334466305|1459.9113712771518
2013-02-01|1474.25|736.0|765.0|428.2|52.99|4812|3804|8686|2.476|342|142.8892|287.5385|28.58|571.0|0.9965|1424.7125|1491.7252366625182|1357.699763337482|1464.690914184768
2013-02-04|1488.75|734.25|763.0|434.3|53.11|4812|3838|8686|2.46|342|142.4333|286.6229|28.48|568.6|0.9988|1430.7875|1497.8908298354113|1363.6841701645883|1472.710609456512
